utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
19 %, 23633 MiB, 24576 MiB,70.48 W,12.3,246.88,
19 %, 23633 MiB, 24576 MiB,67.84 W,13.8,248.01,
18 %, 23633 MiB, 24576 MiB,70.56 W,10.7,249.11,
19 %, 23633 MiB, 24576 MiB,70.43 W,10.9,250.2,
19 %, 23633 MiB, 24576 MiB,68.09 W,11.1,251.31,
19 %, 23633 MiB, 24576 MiB,68.06 W,8.9,252.41,
19 %, 23633 MiB, 24576 MiB,68.08 W,11.2,253.5,
19 %, 23633 MiB, 24576 MiB,66.25 W,12.1,254.63,
19 %, 23633 MiB, 24576 MiB,68.79 W,12.9,255.73,
20 %, 23633 MiB, 24576 MiB,67.43 W,12.0,256.84,
19 %, 23633 MiB, 24576 MiB,67.96 W,12.5,257.95,
19 %, 23633 MiB, 24576 MiB,67.96 W,9.9,259.04,
19 %, 23633 MiB, 24576 MiB,67.57 W,11.7,260.13,
19 %, 23633 MiB, 24576 MiB,67.40 W,12.6,261.22,
19 %, 23633 MiB, 24576 MiB,71.36 W,9.9,262.31,
19 %, 23633 MiB, 24576 MiB,72.70 W,12.2,263.41,
19 %, 23633 MiB, 24576 MiB,70.91 W,11.6,264.51,
19 %, 23633 MiB, 24576 MiB,70.33 W,11.6,265.6,
19 %, 23633 MiB, 24576 MiB,67.64 W,8.7,266.69,
19 %, 23633 MiB, 24576 MiB,67.30 W,10.8,267.8,
20 %, 23633 MiB, 24576 MiB,67.65 W,7.3,268.89,
19 %, 23633 MiB, 24576 MiB,66.51 W,8.0,269.99,
19 %, 23633 MiB, 24576 MiB,67.62 W,9.2,271.08,
20 %, 23633 MiB, 24576 MiB,72.48 W,10.1,272.17,
19 %, 23633 MiB, 24576 MiB,72.63 W,10.4,273.27,
20 %, 23633 MiB, 24576 MiB,70.70 W,10.2,274.36,
19 %, 23633 MiB, 24576 MiB,69.62 W,8.7,275.45,
19 %, 23633 MiB, 24576 MiB,67.62 W,11.4,276.55,
19 %, 23633 MiB, 24576 MiB,67.02 W,7.8,277.65,
19 %, 23633 MiB, 24576 MiB,66.70 W,8.3,278.74,
19 %, 23633 MiB, 24576 MiB,66.13 W,8.8,279.83,
20 %, 23633 MiB, 24576 MiB,73.07 W,9.5,280.93,
20 %, 23633 MiB, 24576 MiB,73.11 W,10.7,282.02,
20 %, 23633 MiB, 24576 MiB,69.86 W,9.6,283.11,
19 %, 23633 MiB, 24576 MiB,69.71 W,8.5,284.22,
19 %, 23633 MiB, 24576 MiB,69.36 W,9.9,285.31,
19 %, 23633 MiB, 24576 MiB,68.05 W,8.7,286.4,
20 %, 23633 MiB, 24576 MiB,66.50 W,7.7,287.51,
19 %, 23633 MiB, 24576 MiB,67.27 W,11.5,288.6,
19 %, 23633 MiB, 24576 MiB,66.79 W,9.9,289.69,
19 %, 23633 MiB, 24576 MiB,72.07 W,10.9,290.78,
19 %, 23633 MiB, 24576 MiB,72.18 W,9.4,291.88,
19 %, 23633 MiB, 24576 MiB,71.60 W,8.9,292.97,
20 %, 23633 MiB, 24576 MiB,69.40 W,10.9,294.06,
19 %, 23633 MiB, 24576 MiB,68.18 W,7.5,295.16,
20 %, 23633 MiB, 24576 MiB,67.92 W,10.8,296.25,
19 %, 23633 MiB, 24576 MiB,66.95 W,10.0,297.34,
19 %, 23633 MiB, 24576 MiB,73.30 W,10.2,298.43,
20 %, 23633 MiB, 24576 MiB,72.67 W,8.1,299.53,
19 %, 23633 MiB, 24576 MiB,71.92 W,10.7,300.64,
19 %, 23633 MiB, 24576 MiB,71.31 W,8.2,301.73,
20 %, 23633 MiB, 24576 MiB,71.37 W,9.6,302.84,
20 %, 23633 MiB, 24576 MiB,70.94 W,10.1,303.94,
20 %, 23633 MiB, 24576 MiB,69.54 W,9.8,305.03,
20 %, 23633 MiB, 24576 MiB,67.71 W,11.7,306.15,
18 %, 23633 MiB, 24576 MiB,68.76 W,13.2,307.25,
19 %, 23633 MiB, 24576 MiB,67.84 W,9.7,308.35,
19 %, 23633 MiB, 24576 MiB,68.17 W,9.9,309.44,
19 %, 23633 MiB, 24576 MiB,67.32 W,12.8,310.56,
19 %, 23633 MiB, 24576 MiB,67.69 W,12.1,311.66,
19 %, 23633 MiB, 24576 MiB,65.95 W,12.7,312.77,
18 %, 23633 MiB, 24576 MiB,66.08 W,11.6,313.87,
19 %, 23633 MiB, 24576 MiB,68.04 W,11.6,314.96,
19 %, 23633 MiB, 24576 MiB,73.33 W,10.3,316.05,
20 %, 23633 MiB, 24576 MiB,73.59 W,10.1,317.15,
20 %, 23633 MiB, 24576 MiB,72.82 W,12.6,318.24,
19 %, 23633 MiB, 24576 MiB,69.60 W,12.2,319.36,
18 %, 23633 MiB, 24576 MiB,70.13 W,12.2,320.46,
19 %, 23633 MiB, 24576 MiB,69.54 W,11.7,321.55,
19 %, 23633 MiB, 24576 MiB,68.70 W,12.2,322.65,
18 %, 23633 MiB, 24576 MiB,68.12 W,10.9,323.74,
18 %, 23633 MiB, 24576 MiB,67.36 W,11.0,324.86,
19 %, 23633 MiB, 24576 MiB,67.65 W,12.9,325.95,
19 %, 23633 MiB, 24576 MiB,67.35 W,9.9,327.04,
20 %, 23633 MiB, 24576 MiB,66.88 W,10.4,328.13,
20 %, 23633 MiB, 24576 MiB,73.02 W,10.4,329.23,
20 %, 23633 MiB, 24576 MiB,71.79 W,8.1,330.32,
20 %, 23633 MiB, 24576 MiB,69.76 W,10.6,331.42,
19 %, 23633 MiB, 24576 MiB,69.84 W,7.3,332.52,
19 %, 23633 MiB, 24576 MiB,68.34 W,9.2,333.61,
19 %, 23633 MiB, 24576 MiB,67.34 W,11.2,334.7,
20 %, 23633 MiB, 24576 MiB,68.02 W,9.9,335.8,
20 %, 23633 MiB, 24576 MiB,67.19 W,10.7,336.89,
19 %, 23633 MiB, 24576 MiB,72.10 W,7.5,337.98,
19 %, 23633 MiB, 24576 MiB,70.64 W,10.6,339.07,
19 %, 23633 MiB, 24576 MiB,70.06 W,8.1,340.19,
20 %, 23633 MiB, 24576 MiB,71.55 W,6.9,341.28,
20 %, 23633 MiB, 24576 MiB,69.55 W,8.2,342.37,
19 %, 23633 MiB, 24576 MiB,68.31 W,10.2,343.46,
20 %, 23633 MiB, 24576 MiB,67.74 W,9.8,344.55,
20 %, 23633 MiB, 24576 MiB,67.67 W,9.6,345.65,
19 %, 23633 MiB, 24576 MiB,65.33 W,10.3,346.74,
19 %, 23633 MiB, 24576 MiB,64.37 W,8.5,347.86,
19 %, 23633 MiB, 24576 MiB,66.20 W,10.1,348.96,
19 %, 23633 MiB, 24576 MiB,72.46 W,9.1,350.05,
19 %, 23633 MiB, 24576 MiB,70.53 W,8.0,351.14,
19 %, 23633 MiB, 24576 MiB,70.11 W,11.8,352.24,
20 %, 23633 MiB, 24576 MiB,69.61 W,9.5,353.33,
20 %, 23633 MiB, 24576 MiB,67.63 W,9.9,354.42,
19 %, 23633 MiB, 24576 MiB,66.20 W,10.8,355.52,
19 %, 23633 MiB, 24576 MiB,67.65 W,7.8,356.62,
19 %, 23633 MiB, 24576 MiB,67.65 W,11.1,357.71,
19 %, 23633 MiB, 24576 MiB,73.18 W,6.8,358.8,
19 %, 23633 MiB, 24576 MiB,72.34 W,9.7,359.91,
19 %, 23633 MiB, 24576 MiB,72.96 W,10.5,361.0,
19 %, 23633 MiB, 24576 MiB,70.75 W,10.2,362.1,
20 %, 23633 MiB, 24576 MiB,69.29 W,9.6,363.19,
19 %, 23633 MiB, 24576 MiB,68.88 W,7.3,364.28,
20 %, 23633 MiB, 24576 MiB,68.14 W,9.7,365.37,
20 %, 23633 MiB, 24576 MiB,66.64 W,9.1,366.48,
19 %, 23633 MiB, 24576 MiB,68.37 W,9.3,367.57,
19 %, 23633 MiB, 24576 MiB,69.38 W,11.5,368.67,
18 %, 23633 MiB, 24576 MiB,72.35 W,12.5,369.77,
19 %, 23633 MiB, 24576 MiB,71.13 W,11.9,370.86,
19 %, 23633 MiB, 24576 MiB,69.88 W,13.1,371.96,
19 %, 23633 MiB, 24576 MiB,69.56 W,9.0,373.06,
20 %, 23633 MiB, 24576 MiB,67.53 W,12.0,374.16,
19 %, 23633 MiB, 24576 MiB,67.52 W,10.5,375.25,
19 %, 23633 MiB, 24576 MiB,68.38 W,10.1,376.35,
19 %, 23633 MiB, 24576 MiB,66.78 W,12.2,377.45,
20 %, 23633 MiB, 24576 MiB,71.71 W,12.0,378.54,
18 %, 23633 MiB, 24576 MiB,71.57 W,12.7,379.63,
19 %, 23633 MiB, 24576 MiB,71.14 W,11.6,380.72,
19 %, 23633 MiB, 24576 MiB,69.48 W,9.4,381.82,
18 %, 23633 MiB, 24576 MiB,68.65 W,12.6,382.9,
18 %, 23633 MiB, 24576 MiB,67.00 W,11.9,384.0,
18 %, 23633 MiB, 24576 MiB,67.89 W,11.2,385.09,
19 %, 23633 MiB, 24576 MiB,72.17 W,12.4,386.18,
18 %, 23633 MiB, 24576 MiB,73.77 W,12.8,387.27,
19 %, 23633 MiB, 24576 MiB,70.36 W,9.8,388.37,
20 %, 23633 MiB, 24576 MiB,68.64 W,8.8,389.46,
19 %, 23633 MiB, 24576 MiB,68.69 W,11.0,390.58,
20 %, 23633 MiB, 24576 MiB,68.49 W,7.7,391.67,
20 %, 23633 MiB, 24576 MiB,68.54 W,9.5,392.76,
19 %, 23633 MiB, 24576 MiB,66.70 W,10.6,393.85,
20 %, 23633 MiB, 24576 MiB,66.61 W,10.4,394.94,
19 %, 23633 MiB, 24576 MiB,73.69 W,10.4,396.04,
19 %, 23633 MiB, 24576 MiB,71.94 W,10.2,397.13,
19 %, 23633 MiB, 24576 MiB,70.50 W,9.7,398.24,
19 %, 23633 MiB, 24576 MiB,71.66 W,8.1,399.33,
20 %, 23633 MiB, 24576 MiB,69.49 W,10.5,400.42,
19 %, 23633 MiB, 24576 MiB,67.93 W,10.5,401.51,
20 %, 23633 MiB, 24576 MiB,67.74 W,9.8,402.6,
20 %, 23633 MiB, 24576 MiB,67.01 W,8.9,403.7,
19 %, 23633 MiB, 24576 MiB,73.39 W,9.5,404.79,
20 %, 23633 MiB, 24576 MiB,73.34 W,9.3,405.89,
19 %, 23633 MiB, 24576 MiB,71.03 W,7.1,406.98,
19 %, 23633 MiB, 24576 MiB,68.94 W,10.3,408.07,
19 %, 23633 MiB, 24576 MiB,68.53 W,9.9,409.17,
19 %, 23633 MiB, 24576 MiB,68.33 W,11.0,410.26,
20 %, 23633 MiB, 24576 MiB,67.19 W,9.2,411.39,
19 %, 23633 MiB, 24576 MiB,68.38 W,9.2,412.48,
19 %, 23633 MiB, 24576 MiB,68.11 W,10.1,413.58,
19 %, 23633 MiB, 24576 MiB,68.04 W,7.0,414.69,
20 %, 23633 MiB, 24576 MiB,67.35 W,9.6,415.8,
19 %, 23633 MiB, 24576 MiB,68.11 W,10.8,416.89,
19 %, 23633 MiB, 24576 MiB,67.42 W,10.1,417.98,
19 %, 23633 MiB, 24576 MiB,73.70 W,9.8,419.08,
19 %, 23633 MiB, 24576 MiB,72.67 W,8.4,420.17,
19 %, 23633 MiB, 24576 MiB,71.38 W,10.5,421.26,
20 %, 23633 MiB, 24576 MiB,69.73 W,7.0,422.35,
19 %, 23633 MiB, 24576 MiB,67.72 W,10.4,423.45,
19 %, 23633 MiB, 24576 MiB,66.73 W,10.1,424.58,
19 %, 23633 MiB, 24576 MiB,68.75 W,10.1,425.67,
19 %, 23633 MiB, 24576 MiB,67.38 W,10.7,426.76,
20 %, 23633 MiB, 24576 MiB,67.08 W,9.9,427.85,
19 %, 23633 MiB, 24576 MiB,73.45 W,10.7,428.94,
19 %, 23633 MiB, 24576 MiB,72.86 W,9.6,430.04,
19 %, 23633 MiB, 24576 MiB,70.61 W,11.8,431.13,
19 %, 23633 MiB, 24576 MiB,70.28 W,11.4,432.22,
19 %, 23633 MiB, 24576 MiB,67.46 W,12.3,433.34,
